54,3.0,450,200,232,250.0,4
54,3.0,450,150,556,250.0,4
34,1.0,50,484,82,150.0,0
34,1.0,50,399,86,150.0,0
34,1.0,50,318,71,150.0,0
54,3.0,450,352,551,250.0,4
54,3.0,450,579,625,250.0,4
54,3.0,450,642,235,250.0,4
54,3.0,450,348,224,250.0,4
54,3.0,450,197,372,250.0,4
54,3.0,450,349,379,250.0,4
54,3.0,450,274,305,250.0,4
54,3.0,450,272,370,250.0,4
54,3.0,450,143,307,250.0,4
54,3.0,450,132,232,250.0,4
54,3.0,450,250,558,250.0,4
54,3.0,450,348,474,250.0,4
54,3.0,450,148,690,250.0,4
54,3.0,450,273,481,250.0,4
54,3.0,450,169,491,250.0,4
54,3.0,450,227,634,250.0,4
54,3.0,450,420,275,250.0,4
54,3.0,450,420,372,250.0,4
54,3.0,450,415,473,250.0,4
54,3.0,450,349,298,250.0,4
54,3.0,450,124,369,250.0,4
54,3.0,450,60,365,250.0,4
