24,607,325,1,0,40,true,20,25
116,467,725,1,0,40,false,12,25
165,347,725,1,0,40,false,12,25
165,227,725,1,0,40,false,12,25
165,175,657,0,1,40,false,10,25
19,175,597,0,1,40,false,10,25
264,213,575,-1,0,40,false,8,25
215,273,575,-1,0,40,false,8,25
264,333,575,-1,0,40,false,8,25
215,375,557,0,1,40,false,6,25
264,375,497,0,1,40,false,6,25
215,375,437,0,1,40,false,6,25
264,375,377,0,1,40,false,6,25
215,375,317,0,1,40,false,6,25
264,375,257,0,1,40,false,6,25
265,322,250,1,0,40,false,4,25
363,262,250,1,0,40,false,4,25
363,225,273,0,-1,40,false,2,25
363,225,333,0,-1,40,false,2,25
456,225,393,0,-1,40,false,2,25
500,172,400,1,0,40,false,0,25
500,112,400,1,0,40,false,0,25
500,52,400,1,0,40,false,0,25
500,30,400,1,0,40,false,0,25
